match_id,event_id,year,map_index,map,team1,team1_score,team2,team2_score,winner
248276,1657,2023,1,Ascent,Paper Rex,10,Evil Geniuses,13,Evil Geniuses
248276,1657,2023,2,Bind,Paper Rex,13,Evil Geniuses,9,Paper Rex
248276,1657,2023,3,Pearl,Paper Rex,15,Evil Geniuses,13,Paper Rex
248272,1657,2023,1,Lotus,KIWOOM DRX,13,Bilibili Gaming,10,KIWOOM DRX
248272,1657,2023,2,Haven,KIWOOM DRX,13,Bilibili Gaming,9,KIWOOM DRX
247094,1657,2023,1,Lotus,NRG,12,Bilibili Gaming,14,Bilibili Gaming
247094,1657,2023,2,Split,NRG,8,Bilibili Gaming,13,Bilibili Gaming
247076,1657,2023,1,Split,EDward Gaming,13,Giants Gaming,15,Giants Gaming
247076,1657,2023,2,Bind,EDward Gaming,13,Giants Gaming,11,EDward Gaming
247076,1657,2023,3,Ascent,EDward Gaming,13,Giants Gaming,8,EDward Gaming
247104,1657,2023,1,Pearl,Natus Vincere,13,LOUD,11,Natus Vincere
247104,1657,2023,2,Ascent,Natus Vincere,11,LOUD,13,LOUD
247104,1657,2023,3,Bind,Natus Vincere,11,LOUD,13,LOUD
248283,1657,2023,1,Ascent,Evil Geniuses,14,LOUD,12,Evil Geniuses
248283,1657,2023,2,Lotus,Evil Geniuses,13,LOUD,4,Evil Geniuses
248283,1657,2023,3,Pearl,Evil Geniuses,8,LOUD,13,LOUD
248283,1657,2023,4,Split,Evil Geniuses,7,LOUD,13,LOUD
248283,1657,2023,5,Bind,Evil Geniuses,13,LOUD,8,Evil Geniuses
247077,1657,2023,1,Fracture,Paper Rex,13,EDward Gaming,7,Paper Rex
247077,1657,2023,2,Pearl,Paper Rex,16,EDward Gaming,14,Paper Rex
247100,1657,2023,1,Fracture,Team Liquid,11,Natus Vincere,13,Natus Vincere
247100,1657,2023,2,Bind,Team Liquid,15,Natus Vincere,17,Natus Vincere
