match_id,event_id,map,round_number,round_score,winner,side,win_type
348458,1999,Lotus,23,12-11,team2,attack,Spike exploded
348458,1999,Lotus,24,12-12,team2,attack,Elimination
348458,1999,Lotus,25,12-13,team2,defense,Elimination
348458,1999,Lotus,26,13-13,team1,defense,Elimination
348458,1999,Lotus,27,14-13,team1,attack,Elimination
348458,1999,Lotus,28,14-14,team2,attack,Elimination
348458,1999,Lotus,29,15-14,team1,attack,Elimination
348458,1999,Lotus,30,16-14,team1,defense,Elimination
348458,1999,Sunset,1,0-1,team2,attack,Elimination
348458,1999,Sunset,2,0-2,team2,attack,Elimination
348458,1999,Sunset,3,1-2,team1,defense,Elimination
348458,1999,Sunset,4,2-2,team1,defense,Defused
348458,1999,Sunset,5,2-3,team2,attack,Elimination
348458,1999,Sunset,6,2-4,team2,attack,Elimination
348458,1999,Sunset,7,2-5,team2,attack,Elimination
348458,1999,Sunset,8,3-5,team1,defense,Defused
348458,1999,Sunset,9,4-5,team1,defense,Defused
348458,1999,Sunset,10,5-5,team1,defense,Defused
348458,1999,Sunset,11,6-5,team1,defense,Defused
348458,1999,Sunset,12,6-6,team2,attack,Elimination
348458,1999,Sunset,13,6-7,team2,defense,Elimination
348458,1999,Sunset,14,6-8,team2,defense,Elimination
348458,1999,Sunset,15,6-9,team2,defense,Defused
348458,1999,Sunset,16,6-10,team2,defense,Elimination
348458,1999,Sunset,17,6-11,team2,defense,Elimination
348458,1999,Sunset,18,6-12,team2,defense,Defused
348458,1999,Sunset,19,7-12,team1,attack,Elimination
348458,1999,Sunset,20,7-13,team2,defense,Time out
348458,1999,Ascent,1,0-1,team2,defense,Elimination
348458,1999,Ascent,2,0-2,team2,defense,Defused
348458,1999,Ascent,3,0-3,team2,defense,Defused
348458,1999,Ascent,4,1-3,team1,attack,Elimination
348458,1999,Ascent,5,1-4,team2,defense,Time out
348458,1999,Ascent,6,1-5,team2,defense,Defused
348458,1999,Ascent,7,2-5,team1,attack,Elimination
348458,1999,Ascent,8,3-5,team1,attack,Elimination
348458,1999,Ascent,9,3-6,team2,defense,Elimination
348458,1999,Ascent,10,3-7,team2,defense,Elimination
348458,1999,Ascent,11,3-8,team2,defense,Elimination
348458,1999,Ascent,12,4-8,team1,attack,Elimination
348458,1999,Ascent,13,5-8,team1,defense,Defused
348458,1999,Ascent,14,6-8,team1,defense,Elimination
348458,1999,Ascent,15,6-9,team2,attack,Elimination
348458,1999,Ascent,16,6-10,team2,attack,Spike exploded
348458,1999,Ascent,17,7-10,team1,defense,Elimination
348458,1999,Ascent,18,8-10,team1,defense,Elimination
348458,1999,Ascent,19,8-11,team2,attack,Elimination
348458,1999,Ascent,20,9-11,team1,defense,Defused
348458,1999,Ascent,21,9-12,team2,attack,Elimination
348458,1999,Ascent,22,10-12,team1,defense,Defused
348458,1999,Ascent,23,11-12,team1,defense,Defused
348458,1999,Ascent,24,11-13,team2,attack,Elimination
348061,1999,Sunset,1,0-1,team2,defense,Elimination
348061,1999,Sunset,2,0-2,team2,defense,Elimination
348061,1999,Sunset,3,1-2,team1,attack,Elimination
348061,1999,Sunset,4,1-3,team2,defense,Time out
