match_id,event_id,event_title,year,date,time,stage,round,team1,team1_id,team1_score,team2,team2_id,team2_score,winner,map_count
167363,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22,21:30:00,Bracket Stage,Omega - Round of 16,Natus Vincere,4915,2,KRÜ Esports,2355,0,Natus Vincere,2
167370,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-25,19:00:00,Bracket Stage,Omega - Quarterfinals,Team Secret,6199,0,Natus Vincere,4915,2,Natus Vincere,2
167357,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-17,22:35:00,Bracket Stage,Alpha - Quarterfinals,LOUD,6961,2,Karmine Corp,8877,0,LOUD,2
167355,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-15,21:35:00,Bracket Stage,Alpha - Round of 16,MIBR,7386,0,TALON,8304,2,TALON,2
167371,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-25,21:30:00,Bracket Stage,Omega - Quarterfinals,LEVIATÁN,2359,2,Team Vitality,2059,0,LEVIATÁN,2
167364,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23,00:00:00,Bracket Stage,Omega - Round of 16,ZETA DIVISION,5448,0,LEVIATÁN,2359,2,LEVIATÁN,2
167359,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-18,22:00:00,Bracket Stage,Alpha - Quarterfinals,Evil Geniuses,5248,0,TALON,8304,2,TALON,2
167369,1188,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-24,21:50:00,Bracket Stage,Omega - Round of 16,T1,14,0,FURIA,2406,2,FURIA,2
220447,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-21,05:00:00,Playoffs,Upper Final,FNATIC,2593,2,Evil Geniuses,5248,1,FNATIC,3
220444,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-16,05:00:00,Playoffs,Upper Quarterfinals,LOUD,6961,0,Evil Geniuses,5248,2,Evil Geniuses,2
220452,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-20,08:45:00,Playoffs,Lower Round 2,Paper Rex,624,2,EDward Gaming,1120,1,Paper Rex,3
