map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Sunset,MIBR,1,3 (1),2 (0),6 (4),12 (8),542276
Sunset,DRX,1,3 (1),1 (0),5 (2),14 (7),542276
Ascent,MIBR,2,2 (2),3 (2),6 (3),17 (6),542276
Ascent,DRX,0,5 (1),1 (1),1 (0),21 (13),542276
All Maps,MIBR,0,3 (0),3 (0),3 (3),14 (7),542276
All Maps,DRX,2,2 (2),1 (1),7 (4),13 (6),542276
Ascent,FNC,1,3 (1),1 (1),8 (5),14 (5),542270
Ascent,NRG,1,4 (1),0 (0),5 (4),17 (9),542270
Abyss,FNC,1,3 (1),2 (0),5 (1),8 (3),542270
Abyss,NRG,1,4 (2),0 (0),3 (1),11 (10),542270
for,FNC,2,6 (2),3 (1),13 (6),22 (8),542270
for,NRG,2,8 (3),0 (0),8 (5),28 (19),542270
Ascent,DRX,1,3 (1),1 (0),4 (1),20 (13),542278
Ascent,PRX,1,3 (1),2 (0),5 (2),18 (10),542278
Lotus,DRX,2,2 (2),1 (0),6 (4),12 (7),542278
Lotus,PRX,0,4 (0),1 (0),2 (0),14 (8),542278
All Maps,DRX,3,5 (3),2 (0),10 (5),32 (20),542278
All Maps,PRX,1,7 (1),3 (0),7 (2),32 (18),542278
Sunset,FNC,1,3 (1),1 (0),10 (5),7 (2),542279
Sunset,DRX,1,3 (1),0 (0),3 (2),15 (10),542279
Corrode,FNC,1,3 (1),0 (0),2 (2),11 (10),542279
Corrode,DRX,1,3 (1),3 (0),3 (1),7 (1),542279
Haven,FNC,0,4 (1),0 (0),2 (1),18 (11),542279
Haven,DRX,2,2 (2),1 (0),6 (3),15 (6),542279
Bind,FNC,1,3 (1),0 (0),3 (3),11 (9),542279
Bind,DRX,1,3 (1),2 (0),5 (2),7 (1),542279
All Maps,FNC,3,13 (4),1 (0),17 (11),47 (32),542279
All Maps,DRX,5,11 (5),6 (0),17 (8),44 (18),542279
Corrode,NRG,1,3 (1),0 (0),1 (1),12 (11),542272
Corrode,FNC,1,3 (1),1 (0),8 (2),4 (0),542272
Lotus,NRG,1,3 (1),0 (0),3 (3),13 (9),542272
Lotus,FNC,1,3 (1),2 (1),5 (3),9 (1),542272
Abyss,NRG,1,4 (1),1 (0),4 (3),19 (9),542272
Abyss,FNC,1,3 (1),0 (0),8 (3),17 (11),542272
Ascent,NRG,1,4 (1),0 (0),4 (3),13 (4),542272
Ascent,FNC,1,3 (1),2 (1),3 (1),13 (10),542272
corrode,NRG,0,4 (0),0 (0),1 (1),13 (12),542272
corrode,FNC,2,2 (2),3 (0),9 (3),4 (0),542272
ascent,NRG,4,18 (4),1 (0),13 (11),70 (45),542272
ascent,FNC,6,14 (6),8 (2),33 (12),47 (22),542272
